Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MB-0112,0.04766661,-0.21931541,-0.40472758,-0.38819772,0.09862699,0.3092801,0.031202704,0.36434746,-0.051363267,0.029106185,0.37404883,0.104983255,-0.003390029,0.269059,-0.39417827,0.29983473,0.7047012,0.14160326,-0.3388472,-0.1179308,-0.033033982,0.15256238,-0.1030963,0.058219783,-0.3017257,0.40127018,-0.43748865,0.010023508,0.042323746,0.351125,0.17488125,-0.20083436,-0.59086066,-0.07681004,0.45822734,0.5142142,0.5636763,0.065828055,-0.3925903,0.551589,0.1523837,-0.46055686,-0.20850441,-0.3164054,-0.17703907,0.6114848,-0.19030371,0.029661015,-0.15782437,0.3271199,0.1316093,-0.2025282,0.01893884,0.029391758,-0.24674463,0.35024983,-0.17317407,0.2791814,0.09213214,-0.26161677,0.24243692,-0.47814852,-0.5934746,-0.43558112,-0.3224551,0.6981796,0.034813248,-0.019772198,-0.11655943,-0.5118656,-0.34064183,0.07210784,-0.12520075,-0.34904718,-0.14274861,0.22774407,0.035636626,0.3955329,0.10848587,0.06465703,0.007508382,0.0941208,0.3289386,0.017960556,-0.015105568,-0.014855254,-0.2044362,-0.33200592,0.3870892,0.450697,0.3180403,0.059338473,-0.43216276,0.15352657,0.670605,0.63561475,-0.08978539,-0.3524245,-0.33501783,-0.7315358
MB-0113,-0.6364821,0.07357068,-0.1905038,-0.56143683,0.16000961,-0.07733531,-0.35961223,-0.088081665,0.109244,0.46202537,-0.22016075,-0.22344394,0.06604418,-0.38837245,-0.36880434,-0.077540085,-0.46839786,-0.015844196,-0.2887712,0.20482509,0.113142975,0.23830342,-0.29322314,-0.54850316,-0.03938432,-0.023317525,-0.2018276,-0.5013356,0.20665875,-0.3101841,0.35755485,-0.008544423,-0.36448985,-0.1770122,-0.3925709,0.21231875,-0.16232362,0.32559085,0.1399651,0.39358094,0.14145881,-0.4589307,0.18058102,-0.6089654,0.054992467,0.0991175,0.014428832,-0.014350787,0.23824492,0.37968996,-0.115395606,-0.08553676,0.17391104,0.047329694,-0.10609102,-0.42030644,-0.040026806,-0.32850617,-0.13885057,0.048103243,-0.019442393,-0.0866037,-0.31823754,-0.20580362,0.045633215,0.038652997,-0.053112168,0.20346072,0.1282802,-0.094995394,0.1349494,-0.3709678,0.058096316,-0.025557961,-0.36144578,-0.45592898,0.13075386,-0.25867212,0.08513142,0.063365065,-0.07963816,0.52243304,-0.27223188,0.32485837,0.26180902,0.10320622,-0.08475997,-0.54308456,0.27541715,-0.55072474,-0.6963982,0.13179858,0.14452586,-0.2525639,0.14304945,0.10770048,0.1362544,-0.07228682,-0.6405059,0.43151194
MB-0114,-0.19890863,-0.5332709,-0.27858958,-0.45493752,-0.35899916,-0.110722795,-0.08922536,-0.0693823,0.11772938,0.12538311,-0.0630605,0.14863946,0.014713883,0.14943337,-0.08189268,-0.5096338,-0.12101409,-0.20436667,0.34955376,0.1743427,0.37355483,0.35305,0.17035827,0.5794509,0.24576935,-0.013929704,0.12578355,-0.11434835,0.55991185,-0.15860286,-0.25037536,0.11982421,0.019902578,0.26036298,-0.051792465,0.14386651,0.17730163,-0.08719408,0.20141634,0.64713436,-0.07560156,-0.30775344,0.5193193,0.14291438,-0.076968126,-0.13261957,0.28351083,-0.23889473,-0.30179065,0.30419382,-0.16494074,-0.044953205,0.4804281,-0.21276206,0.5236718,0.18093559,0.3907503,-0.44403023,-0.25664908,0.27851328,-0.12274419,0.33652577,0.15134838,-0.4619672,0.20421349,0.073772155,0.3712877,-0.0046639564,-0.04037849,0.014235874,-0.26378685,0.25653124,0.27387294,0.1522162,0.21019885,-0.17022425,-0.1617264,0.085440665,0.033676147,-0.15979075,-0.2423704,-0.39886606,-0.4096821,0.31912616,0.1750436,-0.05128526,-0.24509898,-0.39029035,0.42966264,0.12308843,-0.13276827,0.10845741,0.5006597,0.035053957,0.100497,-0.2888755,-0.25502723,0.1658713,0.024606219,0.16168763
MB-0119,-0.017346915,0.010439355,-0.12017423,-0.34677213,0.6392586,0.455944,0.15124997,-0.030918488,-0.23245473,0.25275993,-0.16894783,-0.28542328,-0.12336381,0.27414623,-0.3253594,-0.29259643,-0.153616,-0.14974777,0.0750711,-0.0983527,-0.2611217,-0.47667512,-0.29235247,0.017648865,-0.34023616,-0.28908604,0.3744223,0.18654919,-0.38129243,0.16050652,-0.5271109,-0.22671247,-0.0977124,0.54712963,-0.011549328,-0.081431404,0.5300094,-0.72054726,0.35459936,0.495289,0.22365126,-0.5405072,0.09582475,0.07057079,0.50189656,-0.1443553,0.096657746,0.06974313,0.41214463,-0.1992141,0.27214035,0.33912832,0.57323503,0.10775389,0.084589794,0.11333819,0.44184935,-0.46262577,0.12475038,0.20889284,-0.00024708733,0.7180917,-0.12012716,-0.32887825,-0.18404561,0.47415465,0.026764147,0.06931689,-0.31256676,-0.110105366,0.021735843,0.32451165,-0.3092085,-0.0032807887,0.043664735,0.569455,0.088537164,0.16412312,-0.10136908,-0.71852875,0.33957314,-0.6001689,-0.30589542,0.050957453,0.42713434,-0.055013895,-0.283185,0.1698054,-0.32465953,0.6660236,0.115219004,0.16344765,0.18298595,0.18905143,0.60933375,0.19044124,-0.02283248,0.06457602,-0.28804654,0.055585228
MB-0120,-0.40483052,0.46635854,-0.17955667,-0.576024,0.49643707,0.65663475,-0.09882131,0.07907208,-0.05056398,0.23844215,-0.20411217,-0.1614534,0.075929046,0.5074346,0.04437296,-0.5373245,0.5155308,-0.72145325,-0.09868452,0.34674415,0.82213354,0.097680956,-0.42408592,-0.5070713,-0.8088079,0.0706346,-0.21288109,0.14447264,0.19506487,0.16353065,-0.7805908,-0.14588779,-0.2663697,-0.88467133,-0.21710733,-0.3773236,-0.65376246,0.043384008,0.29208732,0.26509088,0.12932917,0.6401444,0.31331474,0.5940017,0.32913613,-0.4322294,-0.2712316,-0.10356498,0.44419527,0.48635668,0.43366277,0.2733403,-0.3701008,-0.33341533,0.7245505,-0.6474855,-0.20188372,0.510438,-0.46617216,-0.5455272,0.6512388,-0.019073218,0.17718986,0.050066933,0.433569,-0.18306042,-0.56920636,0.19498616,0.22086027,-0.258195,0.67952305,0.14000683,0.2995557,0.119146764,-0.14857277,0.4032098,0.5056616,0.008750249,-0.026547356,-0.71777487,0.17689407,-0.6912511,-0.6599232,0.79565275,0.25341547,-0.34548125,0.5470212,-0.5707382,0.19159122,0.014842376,0.19711338,-0.59644645,0.21394469,-0.26743254,0.14491215,0.71155125,0.4800499,-0.19314536,-0.014828764,0.2059653
MB-0121,0.009199001,-0.15782818,0.11126856,0.008496334,-0.0015736371,0.24729423,-0.11261871,0.0073933955,-0.101803854,-0.24203551,-0.06366606,0.13083105,-0.4919439,0.34288114,0.5769673,-0.43303907,-0.067734085,0.35210443,-0.12779567,0.38704926,0.6200479,-0.24945894,0.08833678,0.029174872,0.083313435,0.5287706,-0.22175713,-0.43448728,0.11500867,0.6108513,-0.12526286,-0.33270258,-0.0019015931,0.47981918,0.64970344,0.05730875,0.17418146,-0.52310425,-0.1479045,0.017684184,-0.41603255,-0.6385003,0.6148732,0.1679519,0.19744092,-0.33264264,0.00913251,-0.06425384,-0.3456757,-0.076172724,-0.15675217,0.04124751,-0.026910324,0.45541722,-0.08791877,0.4010073,0.117366515,-0.20679218,-0.26839283,-0.0063303113,-0.37602055,-0.036382273,-0.27574438,-0.43158096,-0.08846436,0.15646078,0.02300068,0.36035237,-0.1646682,-0.5546133,-0.17821632,0.17055817,0.062370516,-0.21853992,0.10320725,0.6634026,-0.046930864,0.33740205,0.13665208,0.1151679,-0.2659807,-0.4272233,-0.527909,0.17260791,0.25198427,-0.05715479,-0.011569245,-0.5654533,0.0035156459,-0.21070366,-0.52558243,0.2795648,0.39158416,-0.25103444,0.31304502,-0.30228314,-0.12808374,-0.18308958,-0.23719093,0.5841004
MB-0123,-0.022873562,-0.3157108,0.13645627,-0.442172,0.18332894,0.09092287,0.10152213,0.44573712,0.7679867,-0.40198347,-0.63390154,-0.12051578,-0.7325766,-0.28387052,-0.6777261,0.5739965,0.5478729,0.4515806,-0.4773692,0.026680637,-0.06262708,-0.4310764,-0.21708924,0.08754429,0.060818627,0.35743052,-0.077996604,-0.63517666,0.5888638,0.43723804,0.2966099,0.20344445,-0.2747609,-0.25987563,0.1983979,0.2991624,-0.30718654,-0.35312393,0.47957596,-0.5737108,-0.15978734,-0.32526362,0.8378433,0.117118075,-0.015675321,-0.38058585,-0.14684524,-0.4966603,0.67163694,-0.0380423,-0.05675538,-0.24522714,0.19695082,0.11290596,-0.25861308,-0.16866413,0.40729278,-0.038629867,0.38315704,-0.65199196,-0.78111756,0.3489359,0.13490129,-0.69854677,-0.60187876,0.17713025,0.006472826,-0.3672522,-0.08907889,-0.2309891,-0.6520479,-0.8057717,-0.31421018,-0.03787402,0.36811885,-0.086129464,0.24277721,-0.3148374,0.3761987,-0.67588735,0.40588966,-0.38944927,-0.30589294,0.52072364,0.7956121,0.06737435,0.14879902,-0.47403994,0.22666197,-0.64612114,-0.23484893,-0.45879954,0.60915965,0.432146,-0.036363848,0.40592214,0.2785976,-0.16546005,-0.45402884,-0.06859881
MB-0124,-0.5709785,0.01547659,0.16941208,-0.1489729,0.07620485,-0.04656697,0.08547514,0.35617664,-0.09939943,0.28645685,-0.114810824,0.04936059,-0.46498895,0.49522963,0.24755313,-0.24768868,-0.32619947,0.24170327,-0.36083698,-0.59519494,-0.19429094,-0.20279181,0.3220715,0.17053826,0.18308853,0.3044792,-0.20099543,-0.63262224,-0.24618539,0.14424068,0.48456296,0.3310691,0.14610511,-0.068936646,0.59819293,0.22466713,0.14456503,0.061707623,0.1332959,0.11419638,0.27685043,-0.41570747,0.47565204,0.0590785,0.059287395,-0.27567923,0.27613178,-0.4255603,0.13492584,0.6526875,0.6964719,-0.6411451,0.09907679,0.37335604,-0.0053517167,0.13577147,0.8024569,-0.088264644,-0.37135315,-0.24632041,-0.06639241,-0.5539794,-0.3993292,0.09354344,-0.04347024,0.464618,0.08034736,0.05469346,0.29516786,0.31159058,-0.046825588,0.6316903,0.31331927,-0.1106803,0.24079886,-0.11380127,0.055590674,-0.4018113,-0.296964,0.1727646,-0.2739047,-0.0498908,-0.23408577,-0.31209296,0.55716807,-0.48902804,-0.06701414,-0.45739418,0.24705382,0.09581192,-0.20968428,-0.11087073,0.33432856,0.026486836,0.207121,0.26282066,-0.105922386,0.22325844,-0.18125193,-0.43040365
MB-0125,-0.3832776,0.08991461,-0.22147904,-0.19034472,-0.19836877,-0.07298712,-0.4452875,0.1497939,0.18267384,0.24458125,-0.002028225,-0.116343096,-0.25639093,-0.17636463,-0.20634556,-0.15311323,0.24530552,-0.06291339,0.07312081,0.24033763,0.4777155,-0.19123423,-0.30428213,-0.045748122,0.2161277,-0.03931667,-0.24574958,-0.45746362,0.583906,0.27107465,-0.4387756,-0.54287827,-0.44243887,0.33919156,0.36826673,0.39924332,0.6927252,-0.23725061,-0.20186828,0.5572737,0.32919806,-0.42251924,0.3677549,0.32262826,0.11047399,-0.19151185,0.3223613,-0.3296559,-0.009919202,-0.1629115,0.30606294,0.23784083,-0.10452755,0.7049811,0.48126066,0.54729944,0.29811066,0.13192084,-0.16624239,-0.07730316,0.043169543,-0.13877845,-0.085982606,-0.029184088,0.5214869,0.4709355,0.26168042,-0.1568453,-0.37997854,-0.4583708,0.047223046,0.61154395,-0.03424693,-0.19428281,0.18488152,0.12513438,-0.2607331,-0.61589664,-0.35303506,-0.5620212,-0.4208586,-0.1731883,-0.17158067,-0.42799878,0.05232998,0.044920176,-0.081479505,-0.29262155,0.51117706,0.030617341,-0.2126309,-0.07689549,-0.084794,-0.06270122,-0.06991051,0.042794168,0.024414286,-0.45629308,-0.22921187,-0.15822592
MB-0126,-0.1683087,0.10423106,-0.14283107,0.21558234,-0.40869275,-0.23366845,-0.063251495,-0.18557075,0.1672576,0.42379883,-0.19672734,-0.15373398,-0.49713,0.26028648,-0.28256407,-0.17156121,0.11812824,0.14336005,0.021014616,0.014844619,0.45468193,-0.33149216,-0.3917314,0.19118637,0.11039199,0.24755758,-0.064162485,-0.08401715,0.3365236,0.32052496,0.08265355,-0.49541983,0.05131635,0.19425543,0.06539075,0.25251746,0.34937888,0.38229406,-0.1408414,0.30271044,0.23081416,-0.47740254,0.22714147,-0.14707337,0.15836641,-0.073450156,0.22221887,0.13656081,0.34416905,0.22463474,0.21852523,0.40248644,0.036488675,0.30738896,0.12995136,-0.08539842,0.04432075,-0.11304034,-0.42784196,0.18727547,0.30515108,-0.4984473,-0.47003824,-0.55098546,0.07218231,0.22997466,0.20906895,0.0776774,-0.007116489,0.09920065,0.49334377,0.1781825,0.2295213,-0.6529576,0.35950154,-0.41714567,-0.24797703,-0.4660419,-0.26938656,0.31776014,-0.1969549,-0.34273857,-0.13423349,-0.17211837,-0.22746196,0.09655272,-0.3611164,-0.008351618,0.15540197,0.103521176,0.1250325,-0.5329784,0.24344324,-0.027899412,0.015167065,-0.3568325,-0.3119477,-0.2824122,-0.16706848,0.13476811
